companyShortName,district,industryField,salary,positionName,workYear
商汤科技,南山区,移动互联网,15k-30k,Python开发工程师,3-5年
深信服科技集团,南山区,"信息安全,企业服务",15k-20k,Python软件开发工程师,1-3年
Shopee,南山区,电子商务,15k-30k,Python开发工程师,1-3年
极光,南山区,"移动互联网,数据服务",10k-20k,Python开发工程师,1-3年
明源云,南山区,"移动互联网,企业服务",16k-22k,高级Python开发工程师,3-5年
晶泰科技,福田区,"企业服务,医疗健康",15k-23k,高级Python开发工程师,1-3年
Gridsum 国双,福田区,"数据服务,企业服务",15k-25k,资深python开发工程师,5-10年
平安科技,福田区,金融,15k-30k,Python开发工程师（深圳）,3-5年
腾讯,南山区,"移动互联网 ,游戏",18k-30k,HY2-监控系统开发工程师-Python（深圳）,3-5年
武汉佰钧成技术有限公司,南山区,移动互联网,10k-17k,python开发工程师,3-5年
阿鹿,南山区,"移动互联网,医疗健康",15k-25k,Python工程师,1-3年
中安网域,南山区,"移动互联网,信息安全",6k-12k,Python工程师,1-3年
行云智能,南山区,"移动互联网,硬件",10k-20k,Python开发工程师,1-3年
Bello,南山区,移动互联网,15k-30k,python开发工程师,3-5年
迈卡网络,南山区,O2O,8k-12k,Python开发工程师,1-3年
深信服科技集团,南山区,"信息安全,企业服务",10k-20k,Python开发工程师,不限
极光,南山区,"移动互联网,数据服务",15k-25k,高级Python开发工程师,3-5年
Shopee,南山区,电子商务,30k-50k,Python开发工程师（高级）,3-5年
Gridsum 国双,福田区,"数据服务,企业服务",15k-20k,高级python开发工程师,3-5年
晶泰科技,福田区,"企业服务,医疗健康",18k-30k,Python 算法工程师,3-5年
友联金达,罗湖区,企业服务,5k-8k,Python开发工程师,1-3年
印孚瑟斯,龙岗区,移动互联网,12k-15k,python开发工程师,3-5年
乐易网络,南山区,"移动互联网,游戏",15k-30k,Python,3-5年
盖威,南山区,金融,14k-20k,Python开发工程师,3-5年
Minieye,南山区,"硬件,其他",15k-30k,python工程师,1-3年
众禄基金,罗湖区,"移动互联网,金融",18k-25k,Python开发工程师,3-5年
515游戏,南山区,游戏,15k-25k,Python,3-5年
紫川软件,福田区,"电子商务,金融",8k-14k,python工程师,1-3年
笨鸟社交,南山区,企业服务,20k-40k,python工程师,1-3年
航仕科技,南山区,"移动互联网,O2O",20k-35k,Python开发,3-5年
极光,南山区,"移动互联网,数据服务",10k-15k,Python开发工程师（中级）,1-3年
Gridsum 国双,福田区,"数据服务,企业服务",15k-25k,资深python研发工程师（深圳）,3-5年
博奥特科技,福田区,"移动互联网,金融",10k-15k,Python开发工程师,1-3年
哈哈便利,南山区,"硬件,移动互联网",15k-30k,Python开发工程师,3-5年
掌贝（云移科技）,福田区,"移动互联网,O2O",12k-18k,python开发工程师,3-5年
达观数据,南山区,移动互联网,8k-10k,Python开发工程师,1-3年
平安科技,福田区,金融,10k-15k,Python后台开发工程师（深圳）,不限
上海炽聚,南山区,"电子商务,企业服务",12K-20K,Python开发工程师,1-3年
博悦科创,福田区,移动互联网,10k-13k,python软件开发工程师,1-3年
乐易网络,南山区,"移动互联网,游戏",10k-20k,python开发工程师,3-5年
糗事百科,南山区,移动互联网,15k-30k,Python,3-5年
乐格信息,福田区,"企业服务,数据服务",16k-30k,Python高级开发工程师,3-5年
顺丰科技有限公司,南山区,"移动互联网,电子商务",15k-30k,python后台开发工程师,3-5年
试金石信用,南山区,"数据服务,移动互联网",10k-20k,Python开发岗,1-3年
500.com集团,南山区,"移动互联网,电子商务",15k-25k,Python开发工程师,3-5年
Gridsum 国双,福田区,"数据服务,企业服务",20k-30k,资深Python工程师（深圳）,5-10年
极光,南山区,"移动互联网,数据服务",18k-35k,极光调研 - 高级 Python 工程师,3-5年
博奥特科技,福田区,"移动互联网,金融",15k-25k,python开发工程师,3-5年
江苏亿科达,福田区,"移动互联网,金融",10k-20k,python开发工程师,3-5年
AKULAKU,南山区,"移动互联网,金融",15k-30k,高级Python工程师/面向对象高级Python工,3-5年
印孚瑟斯,龙岗区,移动互联网,10k-20k,Python开发工程师,3-5年
回收宝,南山区,"移动互联网,电子商务",15k-22k,Python开发工程师,3-5年
狗尾草智能科技,南山区,"移动互联网,O2O",15k-30k,高级Python开发工程师,3-5年
金证股份,福田区,金融,10k-16k,Python,3-5年
掌贝（云移科技）,福田区,"移动互联网,O2O",18k-25k,python高级开发工程师,5-10年
明源云链,南山区,"移动互联网,企业服务",16k-22k,高级Python开发工程师,3-5年
威胁猎人,南山区,信息安全,25k-40k,高级Python,5-10年
腾讯,南山区,"移动互联网 ,游戏",18k-30k,HY2-python后台开发工程师（深圳）,3-5年
万科物业,福田区,"O2O,生活服务",15k-30k,Python开发工程师,3-5年
布谷鸟科技,南山区,"电子商务,移动互联网",10k-20k,Python开发工程师,3-5年
Gridsum 国双,福田区,"数据服务,企业服务",15k-20k,高级Python开发工程师（深圳）,3-5年
博奥特科技,福田区,"移动互联网,金融",22k-25k,中级PYTHON开发工程师,5-10年
印孚瑟斯,龙岗区,移动互联网,15k-20k,Python,3-5年
环球易购,南山区,电子商务,12k-20k,高级python开发工程师,3-5年
泽林信息,南山区,教育,15k-30k,高级python开发,3-5年
Symbio-Freeborders,南山区,"移动互联网,电子商务",12k-16k,Python开发工程师,3-5年
AKULAKU,南山区,"移动互联网,金融",15k-30k,Python后台开发/数据平台/Senior,3-5年
乐易网络,南山区,"移动互联网,游戏",15k-30k,python高级开发工程师,3-5年
云天励飞,福田区,移动互联网,15k-30k,Python后端工程师A,1-3年
盖威,南山区,金融,14k-20k,Python交易开发工程师,3-5年
金蝶,南山区,"移动互联网,电子商务",10k-20k,Python开发工程师,3-5年
易博天下,南山区,"移动互联网,O2O",11k-20k,Python开发工程师,1-3年
武汉佰钧成技术有限公司,南山区,移动互联网,12k-18k,Python中级开发工程师,3-5年
瑞云科技,南山区,"移动互联网,文化娱乐",10k-15k,Python高级研发工程师,3-5年
暴鸡电竞,南山区,"移动互联网,文化娱乐",16k-30k,高级Python开发工程师,5-10年
Gridsum 国双,福田区,"数据服务,企业服务",10k-20k,高级python研发工程师（深圳）,1-3年
博奥特科技,福田区,"移动互联网,金融",15k-25k,高级python开发工程师,3-5年
CMGE中手游,福田区,"移动互联网,游戏",15k-25k,sz-Python开发岗,1-3年
杉岩数据,南山区,"企业服务,数据服务",10k-16k,Python开发工程师,1-3年
酷竞NBA,南山区,"文化娱乐,游戏",10k-20k,Python开发工程师,3-5年
印孚瑟斯,龙岗区,移动互联网,8k-15k,python软件工程师,不限
OPPO,南山区,移动互联网,15k-30k,Python工程师（运维平台）,3-5年
码隆科技,盐田区,移动互联网,20k-40k,python开发工程师(深圳),1-3年
木浪云,南山区,"企业服务,数据服务",10k-15k,Python,5-10年
海链科技,南山区,金融,20k-35k,Python 后台工程师,3-5年
前海汇流,南山区,移动互联网,13k-25k,Python研发工程师,1-3年
狮子座,南山区,"移动互联网,企业服务",15k-20k,Python开发工程师,3-5年
贝尔机器人,南山区,其他,15k-30k,Python 开发工程师,3-5年
彼图恩,南山区,"移动互联网,电子商务",20k-40k,Python高级开发工程师,3-5年
小步网络,宝安区,移动互联网,15k-30k,Python后台开发工程师,3-5年
博奥特科技,福田区,"移动互联网,金融",10k-20k,Python,1-3年
杉岩数据,南山区,"企业服务,数据服务",16k-23k,高级Python开发工程师,3-5年
码隆科技,盐田区,移动互联网,20k-40k,高级python开发工程师（深圳）,1-3年
酸桃数据,南山区,"移动互联网,广告营销",15k-30k,高级Python工程师,3-5年
博悦科创,南山区,移动互联网,7k-14k,python开发工程师,1-3年
上海胜日,南山区,移动互联网,15k-20k,python开发工程师,1-3年
米筐 (Ricequant),南山区,金融,7k-9k,PYTHON数据工程师,1-3年
酷竞NBA,南山区,"文化娱乐,游戏",10k-15k,Python开发工程师,1-3年
腾讯,南山区,"移动互联网 ,游戏",15k-30k,python后台高级工程师,3-5年
大数点,南山区,移动互联网,8k-14k,Python研发工程师,1-3年
正易龙,南山区,"游戏,移动互联网",12k-20k,PYTHON开发工程师,1-3年
狗尾草智能科技,南山区,"移动互联网,O2O",20k-40k,高级Python后端开发工程师,5-10年
深圳市比一比网络科技有限公司,南山区,"电子商务,数据服务",8k-11k,python采集工程师,1-3年
暴鸡电竞,南山区,"移动互联网,文化娱乐",13k-25k,Python研发工程师,1-3年
华强聚丰电子,福田区,"移动互联网,电子商务",8k-16k,Python,1-3年
博奥特科技,福田区,"移动互联网,金融",15k-30k,中高级python开发工程师,3-5年
